DBRECORDID,TITLE,ABSTRACT,LANGUAGE,MESH,CHEM
M3290690,['Cell-division sequence motif.'],,['eng'],"['Animals', 'Cell Division', 'Humans', 'Oncogene Proteins, Viral', 'Protein Conformation', 'Proto-Oncogene Proteins', 'Structure-Activity Relationship']","['Oncogene Proteins, Viral', 'Proto-Oncogene Proteins']"
M3306976,['Oncogenes and oncogene proteins.'],,['eng'],"['Cell Transformation, Neoplastic', 'Humans', 'Oncogenes', 'Proto-Oncogene Proteins/metabolism', 'Proto-Oncogene Proteins p21(ras)', 'Structure-Activity Relationship']","['Proto-Oncogene Proteins', 'HRAS protein, human (EC 3.6.5.2)', 'Proto-Oncogene Proteins p21(ras) (EC 3.6.5.2)']"
M3315887,['Obstipation in der Schwangerschaft--welche Therapie?'],,['ger'],"['Abnormalities, Drug-Induced/etiology', 'Cathartics/adverse effects', 'Cathartics/therapeutic use', 'Constipation/therapy', 'Female', 'Humans', 'Infant, Newborn', 'Pregnancy', 'Pregnancy Complications/therapy', 'Risk Factors']",['Cathartics']
M3316567,['Metabolic acidosis after acute ibuprofen overdosage.'],,['eng'],"['Acidosis/chemically induced', 'Child, Preschool', 'Humans', 'Ibuprofen/poisoning', 'Infant', 'Male']",['Ibuprofen (WK2XYI10QM)']
M3319950,['The Beer Sheva experiment: an assessment of the first 13 years.'],,['eng'],"['Academic Medical Centers/history', 'History, 20th Century', 'Israel', 'Schools, Medical/history']",
M3319951,['The Arad statement.'],,['eng'],"['Academic Medical Centers/history', 'History, 20th Century', 'Israel', 'Schools, Medical/history']",
M3323578,"['[Expression of Ha-ras oncogene product, p21 in gastric carcinoma].']",,['jpn'],"['Adenocarcinoma/analysis', 'Humans', 'Immunoenzyme Techniques', 'Oncogenes', 'Proto-Oncogene Proteins/analysis', 'Proto-Oncogene Proteins p21(ras)', 'Stomach Neoplasms/analysis']","['Proto-Oncogene Proteins', 'HRAS protein, human (EC 3.6.5.2)', 'Proto-Oncogene Proteins p21(ras) (EC 3.6.5.2)']"
M3327768,['Orthodontic bonding. Indirect bonding.'],,['eng'],"['Dental Bonding/instrumentation', 'Dental Bonding/methods', 'Humans', 'Orthodontic Appliances', 'Time Factors']",
M3327825,['Genes and neoplasms.'],,['eng'],"['Animals', 'Cell Transformation, Neoplastic', 'Gene Expression Regulation', 'Humans', 'Neoplasms/etiology', 'Neoplasms/genetics', 'Oncogene Proteins, Viral/physiology', 'Oncogenes', 'Retroviridae/genetics']","['Oncogene Proteins, Viral']"
M3330866,['[Metabolism of phosphatidylinositol and its relation to oncogene-transforming proteins].'],,['chi'],"['Animals', 'Humans', 'Oncogene Proteins, Viral', 'Phosphatidylinositols/metabolism', 'Proto-Oncogene Proteins/metabolism']","['Oncogene Proteins, Viral', 'Phosphatidylinositols', 'Proto-Oncogene Proteins']"
M3334349,['A new dentin bonding system.'],,['eng'],"['Dental Bonding/methods', 'Dentin/physiology', 'Humans', 'Oxalates']",['Oxalates']
M3334661,['Leukemia and lymphoma.'],,['eng'],"['Humans', 'Leukemia/drug therapy', 'Leukemia/genetics', 'Leukemia/therapy', 'Lymphoma/drug therapy', 'Lymphoma/therapy', 'Remission Induction']",
M3336963,['Organ donation.'],,['eng'],"['Humans', ""Physician's Role"", 'Role', 'Tissue Donors', 'Tissue and Organ Procurement/standards']",
M3337436,['Treatment of patients with ibuprofen overdose.'],,['eng'],"['Humans', 'Ibuprofen/blood', 'Ibuprofen/poisoning', 'Prognosis', 'Suicide']",['Ibuprofen (WK2XYI10QM)']
M3347492,"[""Localisation of the endpoints of deletions in the 5' region of the Duchenne gene using a sequence isolated by chromosome jumping.""]","[""We have used chromosome jumping technology to move from within a large intron sequence in the Duchenne muscular dystrophy (DMD) gene to a region adjacent to exons of the gene. The single copy jump clone, HH1, was used to characterise deletions in patients previously shown to be deleted for DNA markers in the 5' end of the gene. 12 out of 15 such patients have breakpoints which lie between HH1 and the genomic locus J-47. Thus the vast majority of the deletions in these patients have proximal breakpoints in a similar region distal to the 5' end of the gene. HH1 was mapped with respect to the X;1 translocation in a DMD female and was shown to lie at least 80 kb from the starting point of the chromosome jump, HIP25.""]",['eng'],"['Cell Line', 'Chromosome Deletion', 'Chromosome Mapping', 'Cloning, Molecular', 'DNA/genetics', 'Exons', 'Humans', 'Introns', 'Male', 'Muscular Dystrophies/genetics', 'Nucleic Acid Hybridization', 'Plasmids', 'Reference Values']",['DNA (9007-49-2)']
M3347582,"[""Care of the patient with Alzheimer's disease living at home.""]","[""Although the majority of people with Alzheimer's disease and related disorders are cared for in the home for most of their illness, there are few resources available on a consistent basis for nursing interaction. Nurses employed in a variety of settings provide ongoing information and support for families and caregivers in order to provide well-informed care. Because of the complexity of symptom presentation and care, the use of a simple conceptual model can be a valuable aid, helping families to understand behavioral alterations. The evaluation of behaviors as stress related assists both families and caregivers in determining the cause and effect of activities and environment to assist in enhancing comfort and life quality for both.""]",['eng'],"['Aged', 'Alzheimer Disease/nursing', 'Alzheimer Disease/parasitology', 'Behavior', 'Confusion', 'Family', 'Female', 'Home Care Services', 'Home Nursing', 'Humans', 'Patient Care Planning', 'Stress, Psychological']",
M3357650,['Team nursing and primary nursing can coexist.'],,['eng'],"['Humans', 'Models, Theoretical', 'Nursing, Team', 'Primary Nursing']",
M3371225,['Mitführen eines Notfallkoffers durch Arzte bei Privatfahrten.'],,['ger'],"['Emergency Medical Services/legislation & jurisprudence', 'First Aid', 'Germany, West', 'Humans', 'Physicians/legislation & jurisprudence']",
M3373874,['[Burnout. Commentary: burnout phenomena and burnout scales].'],,['jpn'],"['Burnout, Professional/psychology', 'Health Occupations', 'Humans', 'Psychological Tests', 'Stress, Psychological/psychology']",
M3374072,['Die operative Therapie des Dekubitalgeschwüres.'],,['ger'],"['Humans', 'Pressure Ulcer/surgery', 'Surgical Flaps']",
M3374074,['Praktische Erfahrungen in der Dekubitusbehandlung.'],,['ger'],"['Bandages', 'Humans', 'Pressure Ulcer/therapy']",
M3374893,['The form of nursing science.'],,['eng'],"['Humans', 'Models, Theoretical', 'Nursing', 'Nursing Care', 'Science']",
M3375730,"[""L'aspirine pour tous? Tous pour l'aspirine?""]",,['fre'],"['Aspirin/therapeutic use', 'Cardiovascular Diseases/prevention & control', 'Humans']",['Aspirin (R16CO5Y76E)']
M3378717,"['Nahrungsmittelallergie bei Säuglingen. Allergieprävention, hypoallergene Nahrungen.']",,['ger'],"['Food Hypersensitivity/prevention & control', 'Humans', 'Infant', 'Infant Food/adverse effects', 'Risk Factors']",
M3380135,['Cutaneous trichosporosis.'],['Of 269 patients with cutaneous trichosporosis a majority of 170 (63.2%) showed the infection as intertrigo in the genitocrural and perianal areas. The predominant symptoms were itching and burning. Trichosporosis has been found to be less common in the other sites. Trichosporosis due to Trichosporon beigelii should be kept in mind as one of the differential diagnosis in cases of genitocrural intertrigo and other cutaneous infections by fungi and bacteria in the tropics.'],['eng'],"['Adolescent', 'Adult', 'Aged', 'Aging', 'Anal Canal', 'Child', 'Child, Preschool', 'Dequalinium/therapeutic use', 'Dermatomycoses/drug therapy', 'Dermatomycoses/epidemiology', 'Dermatomycoses/microbiology', 'Female', 'Groin', 'Humans', 'Infant', 'Intertrigo/drug therapy', 'Intertrigo/epidemiology', 'Intertrigo/microbiology', 'Male', 'Middle Aged', 'Skin/microbiology', 'Trichosporon/cytology', 'Trichosporon/isolation & purification']",['Dequalinium (E7QC7V26B8)']
M3381441,['Ibuprofen toxicity.'],,['eng'],"['Animals', 'Dog Diseases/chemically induced', 'Dogs', 'Female', 'Ibuprofen/poisoning', 'Vomiting/chemically induced', 'Vomiting/veterinary']",['Ibuprofen (WK2XYI10QM)']
M3381471,['Flurbiprofen toxicity.'],,['eng'],"['Animals', 'Dog Diseases/chemically induced', 'Dogs', 'Ibuprofen/poisoning']",['Ibuprofen (WK2XYI10QM)']
M3384691,['Indikation und Taktik der frühzeitigen Amputation.'],,['ger'],"['Amputation', 'Amputation Stumps', 'Humans', 'Leg/surgery', 'Leg Injuries/surgery', 'Time Factors']",
M3386382,['Internal maxillary artery ligation for epistaxis: an analysis of failures.'],"['The records of 100 consecutive patients undergoing transantral ligation of the internal maxillary artery (IMA) for epistaxis, including 15 patients who developed postoperative bleeding, were reviewed. Preoperative parameters predictive of surgical failure were advanced age, anemia, and a history of hypertension. The causes of postoperative epistaxis, as determined by surgical reexploration or angiography in 12 cases, included failure to identify the IMA in the pterygomaxillary space (6 cases), blood flow through partially closed clips on the IMA (2 cases), bleeding from posterior ethmoid arteries (2 cases), and revascularization of the nasal blood supply (2 cases). The incidence of surgical failure may be reduced by proper techniques of IMA identification and ligation.']",['eng'],"['Epistaxis/epidemiology', 'Epistaxis/etiology', 'Epistaxis/surgery', 'Female', 'Humans', 'Ligation', 'Male', 'Maxillary Artery/surgery', 'Middle Aged', 'Prognosis', 'Recurrence']",
M3386735,['Cystic fibrosis allele segregation.'],,['eng'],"['Alleles', 'Cystic Fibrosis/genetics', 'Female', 'Humans', 'Male', 'Sex Factors']",
M3398469,['Acetylsalicylsäure ASS.'],,['ger'],"['Aspirin/adverse effects', 'Aspirin/therapeutic use', 'Drug Interactions', 'Humans']",['Aspirin (R16CO5Y76E)']
M3404806,['School nurse regulations implemented.'],,['eng'],"['Child', 'Humans', 'Kansas', 'School Nursing/legislation & jurisprudence']",
M3404966,['Rehabilitation des Hemianopsie-Patienten aus der Sicht der Ergotherapeutin.'],"[""Hemianopsia, above all if it is associated with other neuropsychological deficits (neglect, disturbances of spatial orientation) is very disturbing for the patient in daily life. The patient has difficulty dressing, exhibits poor spatial orientation, has difficulty construing spatial relations or reading. Ergotherapy tries to combat all these disorders. There are various methods of treatment at the ergotherapist's disposal: activities of everyday life, such as self-help and household training, functional games, craft skills and neurotraining, which aims in particular at improving intellectual function. In a well-protected environment the patient learns to judge his or her capabilities correctly once again and to make the best of his or her strength or weaknesses in daily life.""]",['ger'],"['Activities of Daily Living', 'Attention', 'Brain Damage, Chronic/rehabilitation', 'Hemianopsia/rehabilitation', 'Humans', 'Orientation', 'Psychomotor Performance', 'Rehabilitation, Vocational']",
M3405865,['RCM Supplement. When is a midwife not a midwife?'],,['eng'],"['Female', 'Humans', 'Legislation, Nursing', 'Midwifery', 'Pregnancy', 'United Kingdom']",
M3407288,"['Hüft-Fraktur-Bandage zur Verhinderung von Oberschenkelhalsbrüchen bei älteren Menschen. Der Oberschenkelhalsbruch, ein biomechanisches Problem.']","['In the industrial countries, the number of hip fractures will double or even triple in the next 20 years. Pathogenetically, it is a complex matter of medical as well as biosocial factors. Gerontoprophylactically, it is more a biomechanical problem. Therefore a light fall on to the hip at the greater trochanter is of the greatest importance. We have constructed an impact neutralizer, also designed as a hip fracture bandage, to absorb the impact forces which act on aged people during a fall. It is made of a special silicone rubber. The impact neutralizer permits an impulse amplification by a factor of approximately two. Also, the critical height of the fall is increased by a factor of three. That means that the number of hip fractures occurring in elderly people can be reduced by 30-50%, depending on the type of fall and assuming that all elderly people liable to fall wear the hip fracture bandage.']",['ger'],"['Aged', 'Bandages', 'Biomechanical Phenomena', 'Femoral Neck Fractures/physiopathology', 'Femoral Neck Fractures/prevention & control', 'Femur Neck/physiopathology', 'Humans', 'Risk Factors']",
M3415905,['Options: school nurse.'],,['eng'],"['Career Choice', 'Child', 'Humans', 'School Nursing']",
