DBRECORDID,TITLE,ABSTRACT,LANGUAGE,MESH,CHEM
M26903111,['Geriatrische Urologie.'],,['ger'],,
M26987275,['Cervical intertrigo: Think beyond fungi.'],,['eng'],"['Diagnosis, Differential', 'Humans', 'Infant', 'Intertrigo/diagnosis', 'Intertrigo/microbiology', 'Male', 'Staphylococcal Infections/diagnosis', 'Staphylococcus aureus/isolation & purification', 'Streptococcal Infections/diagnosis', 'Streptococcus pyogenes/isolation & purification']",
M28004178,['Dysphagia After Eating Raw Fish.'],,['eng'],,
M28374379,,,['ger'],,
M28379472,"['A Novel Prosthetic Joint Infection Pathogen, Mycoplasma salivarium, Identified by Metagenomic Shotgun Sequencing.']",['Defining the microbial etiology of culture-negative prosthetic joint infection (PJI) can be challenging. Metagenomic shotgun sequencing is a new tool to identify organisms undetected by conventional methods. We present a case where metagenomics was used to identify Mycoplasma salivarium as a novel PJI pathogen in a patient with hypogammaglobulinemia.'],['eng'],"['Agammaglobulinemia/complications', 'Agammaglobulinemia/microbiology', 'Genome, Bacterial', 'High-Throughput Nucleotide Sequencing/methods', 'Humans', 'Joint Prosthesis/microbiology', 'Male', 'Metagenome', 'Middle Aged', 'Mycoplasma Infections/complications', 'Mycoplasma Infections/diagnosis', 'Mycoplasma Infections/microbiology', 'Mycoplasma salivarium/classification', 'Mycoplasma salivarium/genetics', 'Mycoplasma salivarium/isolation & purification', 'Prosthesis-Related Infections/complications', 'Prosthesis-Related Infections/diagnosis', 'Prosthesis-Related Infections/microbiology']",
M27545340,"['A case for using ""marginal"" hearts.']",,['eng'],"['Heart', 'Heart Transplantation', 'Humans']",
M28380435,['MiR-145 negatively regulates Warburg effect by silencing KLF4 and PTBP1 in bladder cancer cells.'],"[""The Warburg effect is a well-known feature in cancer-specific metabolism. We previously reported on the role of microRNA (miR)-145 as a tumor-suppressor in human bladder cancer (BC) cells. In this study, we reveal that miR-145 decreases the Warburg effect by silencing KLF4 in BC cells. The expression levels of miR-145 were significantly lower in clinical BC samples and BC cell lines compared to those in normal tissues and HUC cells. Luciferase assay results showed that miR-145 directly bound to 3'UTR of KLF4, which was shown to be overexpressed in the clinical BC samples using Western blot analysis and immunohistochemistry. Remarkable growth inhibition and apoptosis were induced by the ectopic expression of miR-145 or by the gene silencing of KLF4 (siR-KLF4). Also, Warburg effect-related genes such as PTBP1/PKMs were regulated by the transfection of BC cells with miR-145 or siR-KLF4. These results thus indicate that the miR-145/KLF4/PTBP1/PKMs axis is one of the critical pathways that maintain the Warburg effect in BC carcinogenesis. MiR-145 perturbed the Warburg effect by suppressing the KLF4/PTBP1/PKMs pathway in BC cells, resulting in significant cell growth inhibition.""]",['eng'],,
M28382407,,,['ger'],,
M28382408,,,['ger'],,
M28382409,,,['ger'],,
M28382412,,,['ger'],,
M28383335,['Orienting and Onboarding Clinical Nurse Specialists: A Process Improvement Project.'],"['Purpose!#!Clinical nurse specialists (CNSs) have a unique advanced practice role. This article describes a process useful in establishing a comprehensive orientation and onboarding program for a newly hired CNS.!##!Description!#!The project team used the National Association of Clinical Nurse Specialists core competencies as a guide to construct a process for effectively onboarding and orienting newly hired CNSs. Standardized documents were created for the orientation process including a competency checklist, needs assessment template, and professional evaluation goals. In addition, other documents were revised to streamline the orientation process.!##!Outcome!#!Standardizing the onboarding and orientation process has demonstrated favorable results. As of 2016, 3 CNSs have successfully been oriented and onboarded using the new process.!##!Conclusion!#!Unique healthcare roles require special focus when onboarding and orienting into a healthcare system. The use of the National Association of Clinical Nurse Specialists core competencies guided the project in establishing a successful orientation and onboarding process for newly hired CNSs.']",['eng'],"['Clinical Competence/standards', 'Humans', 'Inservice Training/organization & administration', 'Nurse Clinicians', 'Nursing Evaluation Research', 'Personnel Selection', 'Quality Improvement', 'Societies, Nursing', 'United States']",
M17864755,['DRAINAGE IN BLADDER CANCER.'],,['eng'],,
M27131972,['Real-world Data on the Efficacy of Vernakalant for Pharmacological Cardioversion in Patients With Recent-onset Atrial Fibrillation.'],,['spa'],"['Acute Disease', 'Adult', 'Aged', 'Aged, 80 and over', 'Anisoles/therapeutic use', 'Anti-Arrhythmia Agents/therapeutic use', 'Atrial Fibrillation/drug therapy', 'Emergency Service, Hospital', 'Female', 'Humans', 'Male', 'Middle Aged', 'Pyrrolidines/therapeutic use', 'Treatment Outcome', 'Young Adult']","['Anisoles', 'Anti-Arrhythmia Agents', 'Pyrrolidines', 'vernakalant (9G468C8B13)']"
M27191419,['BBC calls in nurse specialist to advise on breast cancer storyline.'],"[""A clinical nurse specialist in breast care was brought in to advise the BBC on the portrayal of EastEnders' Peggy Mitchell's battle with breast cancer. ""]",['eng'],,
M27192024,['Zika virus and women.'],,['por'],"['Brazil/epidemiology', 'Female', 'Humans', 'Microcephaly/virology', 'Pregnancy', 'Pregnancy Complications, Infectious/epidemiology', 'Pregnancy Complications, Infectious/virology', 'Zika Virus', 'Zika Virus Infection/complications', 'Zika Virus Infection/epidemiology']",
M27029615,['Ambivalence and motivational interviewing with adolescents: ensuring that the baby does not get thrown out with the bathwater.'],,['eng'],"['Adolescent', 'Affect', 'Humans', 'Motivation', 'Motivational Interviewing']",
M28318813,['Clinical research in Ayurveda.'],,['eng'],,
M28389328,['Motivational and contextual determinants of HPV-vaccination uptake: A longitudinal study among mothers of girls invited for the HPV-vaccination.'],"['Background!#!In the Netherlands, HPV-vaccination uptake among 12-year-old girls remains to be lower (61% in 2016) than expected. The present study is about 1) replicating the extent to which social-psychological determinants found in earlier cross-sectional studies explain HPV-vaccination intention, and 2) testing whether HPV-vaccination intention, as well as other social-psychological determinants, are good predictors of future HPV-vaccination uptake in a longitudinal design.!##!Methods!#!A random sample of mothers of girls invited for the vaccination in 2015 was drawn from the Dutch vaccination register (Praeventis) (N=36,000) and from three online panels (N=2483). Two months prior to the vaccination of girls, their mothers were requested to complete a web-based questionnaire by letter (Praeventis sample) or by e-mail (panel samples). HPV-vaccination uptake was derived from Praeventis. Backward linear and logistic regression analyses were conducted to examine most dominant predictors of HPV-vaccination intention and uptake, respectively. The total sample used for data analyses consisted of 8062 mothers. Response rates were 18% for the Praeventis sample and 47% for the panel samples.!##!Results!#!HPV-vaccination intention was best explained by attitude, beliefs, subjective norms, habit, and perceived relative effectiveness of the vaccination; they explained 83% of the variance in HPV-vaccination intention. Intention appeared to be the only stable predictor of HPV-vaccination uptake and explained 43% of the variance in HPV-vaccination uptake.!##!Conclusions!#!These results confirm what was found by earlier cross-sectional studies, and provide strong leads for selecting relevant targets in the planning of future communication strategies aiming to improve HPV-vaccination uptake.']",['eng'],,
