qid,qstr,candidates,cnt
1,covid-19 OR sars-cov-2,"['BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00058754', 'COVID19::11c969557689c4c47a7bed33b92331592', 'BASE::ftunivfreiburg:oai:freidok.uni-freiburg.de:166025', 'C952736370', 'C952726184', 'C952736018', 'M32460345', 'C952728361', 'C952733195', 'C952735397', 'C952743525', 'BASE::crthieme:10.1055/a-1157-4052', 'COVID19::142d7c9492cdc11051c3b8d2450e4b88f', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00056539', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00057155', 'COVID19::158621113dcd9437a3eb9e047d302dfad', 'BASE::ftzbmed:oai:frl.publisso.de:frl:6423270', 'BASE::ftzbmed:oai:frl.publisso.de:frl:6423268', 'COVID19::1f62954df87fbcc2b03f59bb8a48001f0', 'C952735084', 'C952735761', 'C952736470', 'KUP14653', 'C952732758', 'C952728191', 'M32342389', 'BASE::crspringernat:10.1007/s15006-020-0411-1', 'BASE::crspringernat:10.1007/s15006-020-0505-9', 'BASE::cremhsmpubl:10.4414/saez.2020.19275', 'BASE::crthieme:10.1055/a-1164-5162', 'BASE::crspringernat:10.1007/s15006-020-0525-5', 'COVID19::1d44e59aac8c6eeb86b1f1158cc4345e3', 'COVID19::12d1c475a2f9b74aa78be85ae9a15b6f7', 'COVID19::1fe50b314dd1e6f71b9145228a122db6d', 'M33219949', 'BASE::ftkupat:oai:kup.at:14652', 'KUP14652', 'BASE::crspringernat:10.1007/s00393-020-00824-0', 'BASE::ftiupui:oai:scholarworks.iupui.edu:1805/24195', 'M32447695', 'BASE::ftinstdeusprache:oai:ids-pub.bsz-bw.de:9818', 'BASE::ftunivveronairis:oai:iris.univr.it:11562/1025941', 'M32836333', 'KUP14716', 'COVID19::1243a3201d8e118891e357bd754731ce2', 'B4567866', 'B4546132', 'BASE::ftrobertkoch:oai:edoc.rki.de:176904/6728.2', 'BASE::ftrobertkoch:oai:edoc.rki.de:176904/6728', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00059251', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00058134', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00057985', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00058981', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00059867', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00057513', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00058419', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00061404', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00064555', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00063299', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00062856', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00057754', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00059870', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00059219', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00059869', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00061969', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00058969', 'BASE::ftcarolinadr:cdr.lib.unc.edu:j3860c88t', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00056740', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00058510', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00058169', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00059961', 'BASE::ftrepec:oai:RePEc:han:dpaper:dp-670', 'BASE::crthieme:10.1055/s-0040-1710758', 'BASE::crthieme:10.1055/a-1164-9431', 'B4567825', 'BASE::ftvirginiatec:oai:vtechworks.lib.vt.edu:10919/98329', 'BASE::ftrobertkoch:oai:edoc.rki.de:176904/6784', 'BASE::ftrobertkoch:oai:edoc.rki.de:176904/6778', 'M32427135', 'M32375142', 'M32336766', 'BASE::ftinstdeusprache:oai:ids-pub.bsz-bw.de:9748', 'BASE::crelifesciences:10.7554/elife.57309.sa1', 'BASE::ftswanseauniv:oai:cronfa.swan.ac.uk:cronfa54867', 'BASE::ftkupat:oai:kup.at:14653', 'BASE::ftunivtuebing:oai:publikationen.uni-tuebingen.de:10900/106889', 'BASE::ftunivsydney:oai:ses.library.usyd.edu.au:2123/22796', 'BASE::crwiley:10.1111/irv.12783/v1/decision1', 'BASE::crwiley:10.1111/irv.12783/v2/decision1', 'BASE::cracsoc:10.1021/acsinfecdis.0c00464.s001', 'BASE::crspringernat:10.1007/s00058-020-1496-8', 'COVID19::131e294e40101b8b22d31624828771eb6', 'COVID19::14be35ae59a072f3560e5984ad5021ce0', 'COVID19::1b9942f9d81f63163a62656458abfd085', 'COVID19::1d883012404b6e55210cd41ab51e4bd7b', 'COVID19::175c1f19d87db8c77ccb0b4d9e402b3d1', 'COVID19::14776466d5ac381cb5eb483fa8f380de6', 'COVID19::1ad2cb2e1109e6cacaec9dd76d019cdde', 'COVID19::1d8ea699fde68546de7a94448187d0fa5', 'COVID19::16171fb5b544fd2158cdabe570ca11c28']",100
645,harninkontinenz,"['C802374', 'C810156', 'C952398736', 'C952335808', 'C25719', 'C586656', 'C595631', 'C952522453', 'SKH011036435', '86304', 'KUP4563', 'C38711', 'C721762', 'C784907', 'C951827560', 'C788521', 'C725484', 'C683153', 'C769450', 'C27569', 'C27556', 'C656147', 'C657825', 'C664008', 'C951830216', 'C951830202', 'C951837617', 'C951848247', 'C951909610', 'C816991', 'C951978896', 'C951978826', 'C951967087', 'C951931516', 'C951975503', 'C951932364', 'C951826398', 'C951858188', 'C781638', 'C951879841', 'C789832', 'C778318', 'C668685', 'C951827758', 'C951857971', 'C952232423', 'C952426960', 'C952289346', 'C952263971', 'C508199', 'C516672', 'C693264', 'C529753', 'C660660', 'C605512', 'C952122562', 'C544544', 'C517930', 'C514017', 'C952485402', 'SKH014429519', 'C951959777', 'C952314997', 'C952287566', 'C720649', 'C952585380', 'C951867409', 'C771702', '186757', 'C952101863', 'C526712', 'C952727821', 'C765098', 'C952074497', 'C581239', 'C951944318', 'NLM9408912', '221331', '312301', '240564', 'SKH026147211', 'SKH122704002', 'SKH221381694', 'CC_BIBNET_psch9925936701801791', 'SVM230251935', '109675', 'ZBSPORT004296592', 'KUP13930', 'KUP616', 'KUP5390', 'KUP12034', 'KUP12035', 'CC_BIBNET_bibnet14421', 'CC_BIBNET_bibnet25285', 'CC_BIBNET_psch9925822898701791', 'KUP12036', 'NLM9204984', 'NLM101154433', 'KUP4567', 'KUP4566']",100
633,schrotschusskrankheit,"['JKI152593845', 'VTI152593845', 'SKH780799550', 'AGRICOLACAIN749007206', 'IPK342110497', 'TIB31406124X', 'ULIDAT00560533', 'ELFISG196375', 'BASE::ftethz:oai:www.research-collection.ethz.ch:20.500.11850/100817', 'AGRICOLACAT10705589', 'JKI373767110', 'SKH131466240', 'TIB131466240', 'B1516458', 'JKI550008837', 'ELFIST8501627', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00061452', 'AGRISUS201600295631', 'AGRICOLAIND83121737', 'AGRICOLAIND82094473', 'AGRISUS201400079292', 'B1609316', 'AGRICOLACAT88225221', 'AGRICOLACAT80740728', 'AGRICOLACAIN739191893', 'AGRICOLACAIN719002654', 'AGRICOLACAIN709075189', 'AGRICOLACAT10868720', 'AGRICOLAIND83015467', 'B2304897', 'AGRICOLAIND500712604', 'B2267290', 'AGRICOLACAT91257217', 'AGRICOLACAIN729079920', 'AGRICOLACAIN739223607', 'AGRICOLACAIN749025885', 'AGRICOLACAIN709047229', 'AGRICOLACAIN789120737', 'AGRICOLAIND81007555', 'AGRICOLAIND81109970', 'AGRICOLAIND85019410', 'AGRICOLAIND86013343', 'AGRICOLAADL86069073', 'AGRICOLAADL86069075', 'AGRICOLACAIN789130156', 'M32990518', 'ZBSPORT017215542', 'AGRICOLAIND44438836', 'BASE::ftdoajarticles:oai:doaj.org/article:d86043c192744112adbc6d6c27a4f3fa', 'B1560088', 'AGRICOLACAT31013066', 'M10712750', 'M9516316', 'AGRICOLAIND82005756', 'AGRICOLACAIN749110303', 'AGRICOLACAIN779119024', 'ELFISQ193824', 'AGRICOLAIND79061058', 'AGRICOLAIND90048985', 'AGRICOLACAIN789066265', 'AGRICOLACAIN769056520', 'AGRISTR2016021198', 'C952283063', 'AGRICOLAIND90062505', 'M30861802', 'M28828255', 'AGRICOLAIND80024376', 'M30727395', 'AGRISUS201400054423', 'AGRISUS201600111783', 'BASE::ftdoajarticles:oai:doaj.org/article:7ed887ae5c3e4f8987c38594566af35d', 'M23031473', 'AGRICOLAIND500683077', 'AGRICOLAIND605879590', 'AGRICOLAIND44328989', 'AGRISSK2013000112', 'AGRICOLAIND607029210', 'AGRISCN2014002506', 'BASE::ftdoajarticles:oai:doaj.org/article:87b7a2b3890c49b8a1627896764c67b3', 'M30743667', 'ELFIS1BA90', 'AGRICOLAIND87033671', 'AGRICOLAIND20549291', 'AGRICOLACAIN749051473', 'AGRICOLAIND90029516', 'SOMED310605', 'AGRICOLAIND90056791', 'M15773495', 'AGRICOLAIND44507825', 'AGRICOLAIND605490663', 'M27141740', 'B2304504', 'M30845454', 'AGRISRO2014100124', 'M7342960', 'M30727290', 'M30743351', 'AGRISUS201500012726', 'M19120826', 'BASE::ftdoajarticles:oai:doaj.org/article:06f6b85af4d04ff4b45bae146880ca6b']",100
634,kurzlehrbuch AND anatomie,"['SKH317570560', 'SKH014130793', 'SKH179595075', 'SKH179595083', 'SKH221604472', '601833', '604690', 'SKH02297671X', 'SKH161218911', 'SKH16121889X', 'NLM8808037', 'B11106', 'SKH026160706', 'SKH039255808', '272782', 'SKH352933933', 'SKH526812753', 'NLM7807950', 'NLM8103950', 'NLM8503984', 'NLM0045512', 'NLM0226152', 'B4299928', 'SKH236649531', 'NLM0033123', 'JKI314713646', 'C29256', 'NLM9408545', 'NLM06611030R', 'NLM06611040R', 'SKH027247635', 'SKH026161672', 'SKH314713646', 'SKH151628394', 'SKH153374969', 'SVM027247635', 'SKH195392000', '599575', 'FLI027247635', 'SKH153374853', 'SKH038871270', 'SKH516147102', 'SKH663789869', 'ZBSPORT014426230', 'B3851835', 'B169424', '869750', 'SKH118906135', 'SVM123307643', '262896', 'FLI123307643', '283310', 'ZBSPORT013187162', 'NLM9012208', 'NLM9412342', 'SKH378636723', 'SKH543475484', 'B3495863', 'B1775030', '22702', '25326', '74431', '544564', '1011909', '663539', '883652', '19122', '534888', '214785', '121404', '130478', '162074', '144177', 'SKH022978585', 'SKH679758968', 'B79273', 'B3885663', 'B5832', 'AGRICOLACAT90943448', '534886', '534885', 'NLM7701417', 'NLM7909311', 'NLM8409421', 'NLM9201966', 'NLM0423416', 'B2189615', 'ZBSPORT004437400', '1110043', '1012802', 'ZBSPORT017441626', 'ZBSPORT016662671', '154387', 'B4278922', 'B4278925', 'NLM03710460R', 'SKH023036737', 'SKH039255816', 'SKH341750220', 'SKH043441041']",100
635,leberzirrhose,"['91049', 'SKH304693782', 'SVM239368940', 'C707945', 'C723155', 'C744171', 'C951825077', 'C951898519', 'C663333', 'SKH044510012', 'SKH012271934', 'SKH039859428', 'SKH010814108', 'SKH011954221', 'SKH131125184', 'SKH014476991', 'SKH012278599', 'SKH042252008', 'SKH015081702', 'SKH15320320X', 'SKH044658036', 'SKH045508135', 'SKH046598170', 'SKH046396578', 'SKH044305087', 'SKH044677111', 'SKH065562941', 'SKH046199934', 'SKH184268419', 'B208872', 'C952653725', 'C573217', 'C952479504', 'C952709221', '974392', '218258', '353152', '326221', '287238', '283593', '95029', '95736', 'C952676907', 'C952675540', 'C952720532', 'SKH010084630', 'SKH06648751X', 'C952660681', 'C951937409', 'SOMED353287', 'SOMED233072', '500291', '2758', '265677', 'SOMED329836', 'SKH044500041', 'THIEME10_1055_s_2007_980842', 'SKH039864626', 'C951889765', 'SKH313101124', 'C951865169', 'SOMED300848', 'C952589157', 'C952101302', 'C689556', 'C739773', 'C800808', 'C735184', 'C952062979', 'C531098', 'C727849', 'C546804', 'C717343', 'C951862498', 'C951935580', 'C951888461', 'C951923862', 'C951859747', 'C951898959', 'C762018', 'C951943355', 'C951826695', 'C816472', 'C726347', 'C952233151', 'C952426864', 'C952414166', 'C952419681', 'C952350712', 'C952395897', 'C952261140', 'C952319886', 'C952502361', 'C952543336', 'C708239', 'C42169', 'C590878', 'C41884', 'C501932', 'C952554269']",100
636,impfpflicht,"['C951902842', 'C952585336', 'C952698115', 'C952690074', 'C951866092', 'C952025588', 'C951927907', 'C952476151', 'C952713903', 'C951948749', 'C952710606', 'C952710282', 'C952679898', 'C952671545', 'C952039391', 'C952677673', 'C952682643', 'C952715533', 'C952681153', 'C952712322', 'C952693489', 'C952692380', 'C952686486', 'BASE::ftopenagrar:oai:openagrar.bmel-forschung.de:openagrar_mods_00019093', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00019093', 'HECLINETHN37402', 'C951916336', 'C813489', 'C952353211', 'C952447761', 'C952184941', 'C952709134', 'C952486718', 'C952578350', 'C952725341', 'C952681427', 'EGMS19degam273', 'C952691131', 'C952722947', 'C952678205', 'C952728198', 'C952686485', 'C952578853', 'C952047377', 'C952673359', 'M32536726', '978408', '454949', 'C952700401', 'C952278384', 'C952278383', 'C952687805', 'C952437137', 'CC_BIBNET_bibnet13880', 'CC_BIBNET_bibnet33525', 'CC_BIBNET_bibnet35613', 'CC_BIBNET_bibnet34405', 'C952230753', 'C952709130', 'ULIDAT00157986', 'THIEME10_1055_s_0042_102946', 'C952575364', 'CC_BIBNET_bibnet34403', 'CC_BIBNET_bibnet28283', 'BASE::ftzbwkiel:oai:econstor.eu:10419/225042', 'BASE::ftorgprints:oai:orgprints.org:28310', 'HECLINETHN35869', 'C952678630', 'M127139', 'M4262335', 'CC_BIBNET_bibnet33847', '1085767', 'COVID19::1e1bb68a416c3d4172761e76bfcc6b3de', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00059475', 'M26314168', 'M1038980', 'THIEME10_1055_s_0034_1367692', 'M9138917', 'CC_BIBNET_bibnet14016', 'CC_BIBNET_bibnet34407', 'SOMED583152', 'BASE::ftunivmannheim:oai:ub-madoc.bib.uni-mannheim.de:55404', 'SOMED561365', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00059476', 'CC_BIBNET_bibnet26950', '1122584', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00061065', 'BASE::ftopenagrar:oai:openagrar.bmel-forschung.de:openagrar_mods_00022380', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00022380', 'SOMED433811', 'SOMED348715', 'C952343394', 'BASE::ftrobertkoch:oai:RKI.de:3236', 'BASE::ftrobertkoch:oai:edoc.rki.de:176904/1695', 'THIEME10_1055_s_0028_1106864', 'CC_BIBNET_careum85785', 'BASE::ftopenagrar:oai:openagrar.bmel-forschung.de:fimport_mods_00001732', 'BASE::ftopenagrar:oai:openagrar.bmel-forschung.de:openagrar_mods_00003717', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00003717', 'THIEME10_1055_s_0033_1360475']",100
637,osteoporose AND physiotherapie,"['C952102480', 'C952205916', 'C951943802', 'C951827635', 'C952087466', 'C952046003', 'THIEME10_1055_s_2008_1065931', 'C952064241', 'THIEME10_1055_s_0032_1308123', 'CC_BIBNET_careum104625', 'THIEME10_1055_s_2008_1065418', 'THIEME10_1055_s_0032_1307787', 'KUP632', '440296', 'ZBSPORT009716854', 'BASE::ftdoajarticles:oai:doaj.org/article:b7b6e29bee1c443db30a763e42d4e227', 'C952127084', 'C952643673', '679285', '768479', 'THIEME10_1055_s_0038_1624238', 'PSYNDEX0254890', 'KUP9009', 'C952241189', 'BASE::ftdoajarticles:oai:doaj.org/article:d267dcaf3a0244ae9dee547db651da74', 'C696739', 'THIEME10_1055_s_2004_813392', '656493', 'C951882910', 'C951882921', '729123', '839170', 'THIEME10_1055_s_0028_1111677', 'CC_BIBNET_careum82980', '942546', 'M5333194', 'THIEME10_1055_s_0028_1109425', '1029821', 'THIEME10_1055_s_0029_1224542', 'THIEME10_1055_s_0037_1619868', 'C952036934', 'CC_BIBNET_careum13622', 'CC_BIBNET_careum3702', '993335', 'SOMED340610', '669995', '966296', '859095', '1024260', '1035379', '877839', '784828', 'KUP4692', 'THIEME10_1055_s_0030_1267615', '729537', 'THIEME10_1055_s_0038_1673537', 'KUP993', '424299', '676804', '427394', '915663', '858882', '668317', '1011244', '916146', '930963', '557268', 'THIEME10_1055_s_0038_1673536', '850365', '850366', '963139', 'M5932566', 'THIEME10_1055_s_2004_834550', '1013715', '1020471', '846196', '881005', '874976', '925106', '1027940', '989191', '991992', '999656', '1056890', '1016451', '760383', '1051474', '1003293', '817823', '694090', '695886', '741505', '745768', '708508', '480765', '662663', '608512', '821210', '823682', '826151']",100
638,schichtdienst,"['HECLINETHN17591', 'HECLINETHN17916', 'C951948843', 'CC_BIBNET_rudolfiner39627', 'HECLINETHND_1_72_04885', 'HECLINETHN34896', 'HECLINETHN34013', 'C952261467', 'CC_BIBNET_rudolfiner53948', 'C951943023', 'HECLINETHN33080', 'C524815', 'C952135983', 'C952072939', 'CC_BIBNET_bibnet21046', 'M29754371', 'HECLINETHN70408', 'C952220176', 'CC_BIBNET_rudolfiner51375', 'CC_BIBNET_bibnet16322', 'CC_BIBNET_bibnet25315', 'CC_BIBNET_bibnet15431', 'HECLINETHN78212', 'HECLINETHN109097', 'HECLINETHN61872', 'HECLINETHN26137', 'HECLINETHN30168', 'CC_BIBNET_bibnet582', 'CC_BIBNET_bibnet32084', 'HECLINETHN64879', 'HECLINETHN121896', 'HECLINETHN108233', 'HECLINETHN109824', 'HECLINETHN88475', 'HECLINETHN62289', 'HECLINETHN29492', 'HECLINETHN32849', 'HECLINETHN43179', 'HECLINETHN31925', 'HECLINETHN66854', 'HECLINETHN38113', 'HECLINETHN12081', 'HECLINETHN10123', 'C951853471', 'C603408', 'C952489121', 'HECLINETHN31868', 'SKH014567946', 'SKH558584853', 'C541964', 'CC_BIBNET_rudolfiner47548', 'CC_BIBNET_rudolfiner35781', 'CC_BIBNET_rudolfiner54311', 'CC_BIBNET_rudolfiner57727', 'CC_BIBNET_rudolfiner57321', 'DNB986548448', '237945', 'C509295', 'M4482546', 'C952614911', 'C587099', 'C952593544', 'THIEME10_1055_s_0033_1344964', 'C952627369', 'C952651789', 'CC_BIBNET_bibnet15500', 'CC_BIBNET_bibnet25316', 'CC_BIBNET_rudolfiner56428', 'CC_BIBNET_rudolfiner56427', 'CC_BIBNET_rudolfiner51330', 'CC_BIBNET_rudolfiner35536', 'CC_BIBNET_rudolfiner40286', 'CC_BIBNET_rudolfiner44873', 'CC_BIBNET_rudolfiner51329', 'CC_BIBNET_rudolfiner58190', 'C952643093', 'C952245350', 'HECLINETHN105080', 'CC_BIBNET_bibnet15421', 'CC_BIBNET_rudolfiner40911', 'HECLINETHN88318', 'HECLINETHN70105', 'HECLINETHN66497', 'HECLINETHN121390', 'HECLINETHN95086', 'HECLINETHN57051', 'HECLINETHN126322', 'HECLINETHN119939', 'CC_BIBNET_bibnet21178', 'HECLINETHN81269', 'HECLINETHN48829', 'HECLINETHN204496', 'HECLINETHN118657', 'HECLINETHN99144', 'HECLINETHN97925', 'HECLINETHN118325', 'HECLINETHN106708', 'HECLINETHN95043', 'HECLINETHN81865', 'HECLINETHN96381']",100
639,interkulturelle AND kompetenz,"['TIB523608179', 'SKH728533545', 'CC_BIBNET_bibnet16594', 'ZBW624635260', 'ZBW870551418', 'TIB552509604', 'ZBW733753868', 'C952075494', 'C740011', 'C671865', 'C650478', 'C952425418', 'SKH626919282', 'SKH624996654', 'TIB626919282', 'SKH828418039', 'C952337163', 'C952123072', 'C952653839', 'ZBW787137901', 'ZBW632429631', 'EGMS13gma198', 'SKH226225119', 'TIB226225119', 'TIB594434041', 'ZBSPORT015878387', 'TIB62683855X', 'SKH62683855X', 'CC_BIBNET_bibnet21899', 'ZBW357259114', 'ZBW610219774', 'EGMS13gma196', 'SKH815351216', 'TIB815351216', 'ZBW626465516', 'SKH629937133', 'ZBW334019060', 'TIB629937133', 'SKH389267244', 'SKH339874287', 'SKH577653369', 'ZBW577653369', 'C567358', 'ZBW605324174', 'SKH393805638', 'TIB389593540', 'ZBW576949140', 'ZBW366732609', 'ZBW882780514', 'C952432677', 'SKH558618146', 'SKH334382335', 'TIB482320907', 'TIB601137876', 'ZBW36305748X', 'ZBW785838155', 'ZBSPORT017476128', 'ZBSPORT013280039', 'ZBW366287451', 'ZBW62683855X', 'ZBW612879526', 'TIB608713570', 'TIB689619863', 'SKH689619863', 'ZBW798466332', 'SKH608713570', 'ZBW57519619X', 'TIB329978136', 'ZBW329978136', 'EGMS13gma266', 'ZBW305281682', 'ZBW598285253', 'ZBW609565877', 'ZBW534976115', 'ZBW883897938', 'ZBW783136919', 'TIB324071787', 'TIB529503379', 'SKH529503379', 'ZBW324071787', 'C952289584', 'ZBSPORT006329878', 'ZBW629937133', 'ZBW815460376', 'B1046479', 'TIB824943740', 'ZBW601555066', 'SKH316266965', 'TIB316266965', 'ZBW509016014', 'ZBW316266965', 'EGMS14gma337', 'EGMS16gma284', 'C23164', 'C716484', 'C951998541', 'C952004284', 'C735122', 'C952396876', 'C952300184']",100
640,beckenendlage,"['THIEME10_1055_s_0034_1384318', 'NLM100885040', 'SKH012629758', 'SKH014421755', 'SKH015121828', 'SKH04475129X', 'B57753', '95565', '296614', '88873', '90364', '170427', 'SKH012755346', '89032', 'C952026677', 'C569126', 'C569130', 'C790806', 'C951913835', 'C952352625', 'C569131', 'C627428', 'C952538275', 'SKH039117502', 'SKH010827811', 'SKH014404311', 'SKH014454475', 'SKH123288843', 'SKH324395736', 'SKH045753059', 'SKH046503870', 'SKH334850541', 'SKH25217268X', 'C952614506', 'C952687449', 'C951946046', 'C951913288', 'C736586', 'C952166670', 'SKH550653325', '487252', '415945', '156514', '167822', '354899', '767519', '904659', 'C952714666', 'THIEME10_1055_s_0028_1098800', 'CC_BIBNET_bibnet35419', 'SKH251120082', 'SVM240389115', '99910', 'C952342646', 'C952367089', 'KUP404', '93010', '417158', 'SKH330016954', '517935', 'THIEME10_1055_s_2004_823081', 'CC_BIBNET_careum11932', 'C952485334', 'SKH012597783', 'SKH154153109', 'C952485332', '413128', '265714', '300169', '83921', '447462', 'THIEME10_1055_s_2006_936522', 'SKH010701575', 'SKH31306895X', 'SKH246172088', 'C30072', 'C952130011', 'C709676', 'C952044658', 'C952343631', 'C534046', 'C668658', 'C621040', 'C618175', 'C952140901', 'C952172649', 'C538948', 'SKH012628204', 'SKH011346388', 'SKH012613789', 'SKH012479977', 'SKH160510023', 'SKH121414493', 'SKH121471357', 'SKH014937107', 'SKH252111540', 'SKH046149899', 'SKH349794898', 'SKH066593220', 'SKH35201864X']",100
