qid,query,new_query,cnt_results,relevant_found,share
747,morphine AND palliative,"morphine,palliative",5.0,5,1.0
859,cystic AND fibrosis,"cystic,fibrosis",19.0,19,1.0
100,borderline,borderline,5.0,5,1.0
392,postnatal AND depression,"postnatal,depression",5.0,5,1.0
274,tadalafil,tadalafil,8.0,8,1.0
593,heart AND failure,"heart,failure",22.0,22,1.0
591,physiotherapy,physiotherapy,1.0,1,1.0
590,parodontitis,parodontitis,1.0,1,1.0
217,anorexia AND nervosa,"anorexia,nervosa",11.0,11,1.0
727,aromatherapy,aromatherapy,12.0,12,1.0
484,breast AND care AND nurse,"breast,care,nurse",8.0,8,1.0
957,leukemia AND drug AND therapy,"leukemia,drug,therapy",6.0,6,1.0
576,chorea AND huntington,"chorea,huntington",16.0,16,1.0
574,school AND nurse,"school,nurse",6.0,6,1.0
570,sars,sar,1.0,1,1.0
733,anatomy,anatomy,1.0,1,1.0
411,rosuvastatin,rosuvastatin,4.0,4,1.0
735,motivational AND interviewing,"motivational,interviewing",1.0,1,1.0
423,psoriasis,psoriasis,17.0,17,1.0
107,salutogenese,salutogenese,1.0,1,1.0
525,ibuprofen,ibuprofen,11.0,11,1.0
800,pythium,pythium,1.0,1,1.0
239,11-dehydrocorticosterone,11-dehydrocorticosterone,68.0,68,1.0
881,benzodiazepine,benzodiazepine,2.0,2,1.0
368,tinnitus,tinnitus,2.0,2,1.0
622,windeldermatitis,windeldermatitis,1.0,1,1.0
383,blutgasanalyse,blutgasanalyse,1.0,1,1.0
136,cannabis,cannabi,1.0,1,1.0
461,dienstplangestaltung,dienstplangestaltung,1.0,1,1.0
466,travoprost,travoprost,54.0,54,1.0
108,coronavirus,coronavirus,1.0,1,1.0
912,intertrigo,intertrigo,11.0,11,1.0
254,esperanto,esperanto,1.0,1,1.0
227,vernakalant,vernakalant,9.0,9,1.0
123,midwife,midwife,1.0,1,1.0
475,cbd,cbd,1.0,1,1.0
795,adhd,adhd,1.0,1,1.0
111,aromatherapie,aromatherapie,1.0,1,1.0
524,decubitus,decubitus,1.0,1,1.0
339,hashimoto,hashimoto,24.0,24,1.0
28,pesticide AND residues,"pesticide,residue",13.0,13,1.0
20,animal AND protection,"animal,protection",3.0,3,1.0
198,health AND literacy,"health,literacy",2.0,2,1.0
26,organ AND donation,"organ,donation",2.0,2,1.0
536,pelargonium,pelargonium,3.0,3,1.0
209,bgm,bgm,1.0,1,1.0
23,hospital AND hygiene,"hospital,hygiene",2.0,2,1.0
22,climate AND change,"climate,change",1.0,1,1.0
19,zika,zika,1.0,1,1.0
